"","riskScore","Black_Prev","Asian_Prev","Hispanic_Prev","Native_Prev","Age_15_44_Prev","Age_45_54_Prev","Age_65_74_Prev","Age_75_84_Prev","Age_85_Prev","Male_Prev","Locationdesc","ARTHRITIS_CrudePrev","BPHIGH_CrudePrev","CASTHMA_CrudePrev","CHD_CrudePrev","COPD_CrudePrev","KIDNEY_CrudePrev","smoking_current_proportion","smoking_ex_proportion","STROKE_CrudePrev","DIABETES_unctrled_CrudePrev","DIABETES_ctrled_CrudePrev","obesity1","obesity2","obesity3","SDI_2","SDI_3","SDI_4","SDI_5","hemo_cat1","hemo_cat2","hemo_cat3","non_hemo_cat1","non_hemo_cat2","non_hemo_cat3","StateID"
"1",-0.198551422126496,0.262591152965569,0.0133433895919259,0.0340258353401931,0.0055755438477009,0.471343702280361,0.157034650680642,0.123736201508571,0.0629532464464425,0.0213773952139733,0.477288805996163,"Alabama",0.0735774636,0.419,0.146,0.05,0.103,0.04,0.192,0.247,0.027,0.0551255193195423,0.0898744806804576,0.194366973500122,0.0805100225833986,0.0871230039164791,0.158034993437695,0.0970815340473894,0.43655534900282,0.266194815572328,8.01610921974258e-05,0.000282609310052359,0.000536802855057874,0.000965994470637856,0.00346498786274423,0.00750759171294187,1
"2",-0.744124099399822,0.0360562801080954,0.0694065033486077,0.0655713929033016,0.1424663670544,0.535751165575137,0.153236679508863,0.102285865235842,0.036022189668836,0.0126420732313963,0.522395509919825,"Alaska",0.049829118,0.318,0.135,0.071,0.058,0.025,0.191,0.241,0.037,0.0334554875870326,0.0545445124129674,0.158392975642365,0.0656089963041507,0.0709980280534843,0.213560593148117,0.649251747059826,0.0299464803136185,0.100941537412647,5.13564549059778e-05,0.000181058065575853,0.000343911127748645,0.000714027689603772,0.0025611919667684,0.00554933649023957,2
"4",-0.148975982341355,0.0431062433591787,0.0346342490134543,0.282975153139648,0.0420953351140002,0.487132234238401,0.146792387394888,0.125352683355309,0.0686051243072683,0.0228574114862716,0.493789070686139,"Arizona",0.0544939716,0.306,0.175,0.062,0.071,0.036,0.14,0.262,0.026,0.0410590074931764,0.0669409925068236,0.158392975642365,0.0656089963041507,0.0709980280534843,0,0.0325200754961511,0.716848933020653,0.250630991483196,7.52553462683337e-05,0.000265314018355256,0.000503951276458628,0.000817541946009311,0.00293249392859987,0.00635383671998562,4
"5",-0.282841138524222,0.150622097697153,0.0151309831110991,0.062046104426934,0.00681627765773772,0.480617012414661,0.152422842580261,0.122157888931509,0.0636697907732122,0.0231175927313076,0.485190401480342,"Arkansas",0.069972804,0.414,0.166,0.071,0.098,0.037,0.227,0.243,0.031,0.0528444633476992,0.0861555366523008,0.199199301570567,0.0825116529791184,0.0892890454503142,0.133085300289905,0.119030845701181,0.356479328025615,0.352924135152092,8.58021892247824e-05,0.000302497094701218,0.000574578749908279,0.00100561249353444,0.00360709630399848,0.00781549817557939,5
"6",-0.194067051635271,0.0602663802207387,0.153837760592546,0.365124682068505,0.00771216583671663,0.516363270387496,0.157963320905578,0.102434417973914,0.0514685994030214,0.0227399937700184,0.493928947166153,"California",0.043467954,0.284,0.147,0.067,0.046,0.029,0.112,0.221,0.034,0.0395383035119476,0.0644616964880524,0.138526738019424,0.0573800713439691,0.0620931906366066,0.0145480921809747,0.110356180076845,0.28913244950791,0.573785944231589,7.91195039075467e-05,0.000278937172611463,0.00052982780578553,0.000760727701929635,0.00272870325261694,0.00591228331466645,6
"8",-0.678234163908092,0.0408709283622997,0.0321117711801104,0.193827466955933,0.00995861628077,0.519895150845035,0.152957351781363,0.108204138401574,0.0469566307334401,0.0188243472987193,0.500543370343394,"Colorado",0.0479207688,0.259,0.159,0.058,0.044,0.022,0.145,0.259,0.03,0.0266123196715032,0.0433876803284968,0.123492828466929,0.0511527767795074,0.0553543947535641,0.275022703567747,0.244792765773818,0.107358986880994,0.160263130277372,7.62277573044148e-05,0.000268742270197401,0.000510463076711705,0.000743123501704616,0.00266555761155262,0.005775465608417,8
"9",-0.341150058625566,0.102945033145697,0.0445195566242242,0.141048382954653,0.00265587355211863,0.455247054648305,0.166236268020283,0.115293513504794,0.0612968554236951,0.0294723370848143,0.483018521704997,"Connecticut",0.055130088,0.305,0.12,0.059,0.053,0.026,0.122,0.272,0.024,0.0368770715447973,0.0601229284552027,0.147117543477993,0.0609385253808044,0.0659439311412024,0,0.370318894852586,0.489579268968074,0,0.000107980190112716,0.000380686018497851,0.000723094867513035,0.00102522118672257,0.00367743199013992,0.00796789455770737,9
"10",-0.281691268845038,0.215714898208464,0.0389057782256654,0.0770887763125001,0.0040828010709581,0.449149634734873,0.15387842193444,0.135105522428055,0.0679403154027433,0.023295825934951,0.479237363479498,"Delaware",0.055130088,0.349,0.165,0.097,0.07,0.036,0.165,0.257,0.052,0.0452409434415554,0.0737590565584446,0.179869989288787,0.074505131396239,0.0806248793149737,0.22375854602603,0.77624145397397,0,0,0.000102957596872202,0.000362978779593479,0.000689460814914775,0.00109885542675452,0.00394155539430874,0.00854017092890405,10
"11",-0.276240910975479,0.45986610652989,0.0436108158465706,0.0997564140505839,0.00306977835604876,0.608658556816912,0.127853711221184,0.0826666350669181,0.0438311083724662,0.0184536888756471,0.468729791678658,"District of Columbia",0.0398632944,0.264,0.145,0.103,0.053,0.026,0.138,0.208,0.046,0.0319347836058038,0.0520652163941962,0.132620559266658,0.0549336341936449,0.0594458065396971,0,0,0,1,6.64434203815688e-05,0.000234247421995044,0.00044494176392699,0.000743960780470328,0.00266856090075262,0.00578197283730282,11
"12",0.0158679103709068,0.152973602117641,0.0277712417025472,0.242315064265225,0.00289422112484066,0.440363530512672,0.154114670859324,0.135132040774654,0.0783256768773418,0.0315314877314691,0.484195502193462,"Florida",0.056190282,0.346,0.153,0.068,0.083,0.034,0.145,0.274,0.034,0.0479021754087058,0.0780978245912942,0.164836079736292,0.0682778368317772,0.0738860834319311,0.12669754082456,0.29537067823041,0.149409603246948,0.392329453889621,0.000137879478359673,0.000486096473756103,0.000923316980949766,0.00107795309145473,0.00386657945985128,0.00837772051738744,12
"13",-0.289090499956584,0.312555744912021,0.0402239654722769,0.0813816947585537,0.00326429651228693,0.510776063257527,0.165208478492538,0.106123491128118,0.0492999998698522,0.0168955552976262,0.480006393808181,"Georgia",0.0536458164,0.331,0.152,0.05,0.073,0.032,0.161,0.215,0.026,0.0479021754087058,0.0780978245912942,0.174500735877182,0.0722810976232169,0.0782181664996014,0.0868332824840334,0.227051434474906,0.133173067266079,0.502149111599606,8.24242176850856e-05,0.000290587997905742,0.000551957990670773,0.000870655823819952,0.0031230115221795,0.00676663132804385,13
"15",-0.353462050224541,0.0253771648887966,0.543051240552331,0.112421274177017,0.00305429941721776,0.473367845201728,0.147236702392693,0.128321609836054,0.0618722316338558,0.0344256746308559,0.498255220593036,"Hawaii",0.0470726136,0.306,0.143,0.045,0.04,0.029,0.134,0.26,0.02,0.0437202394603267,0.0712797605396733,0.133694409948979,0.0553784409482493,0.0599271491027715,0.0495563176820861,0.814283448967823,0.136160233350091,0,7.88263545963857e-05,0.000277903669670092,0.000527864716425397,0.000912820488055327,0.00327425467548222,0.0070943299778958,15
"16",-0.66657867437504,0.00667753743351636,0.0150877952610827,0.108587138101731,0.0133481654813232,0.498089223422032,0.145055311194432,0.12144519471603,0.0586618145418067,0.0214213235310026,0.500352298304713,"Idaho",0.0557662044,0.298,0.153,0.057,0.057,0.031,0.147,0.234,0.026,0.0387779515213332,0.0632220484786668,0.152486796889599,0.0631625591538265,0.0683506439565747,0.535162293456361,0.224503215805046,0.189544133266772,0.0123695753974366,8.58794434572128e-05,0.000302769455827137,0.000575096086828188,0.00085905480826344,0.003081399091342,0.00667646964399583,16
"17",-0.355421605801775,0.14103466314778,0.0558340109769518,0.153043486543971,0.00254633945114463,0.489804163218542,0.157597059389879,0.110134071561923,0.0566069760212815,0.0250035472617114,0.487328834387622,"Illinois",0.0525856224,0.322,0.177,0.038,0.066,0.028,0.155,0.228,0.036,0.0380175995307189,0.0619824004692811,0.170742258489058,0.0707242739821015,0.0765334675288407,0.144604595347078,0.100755482411084,0.129429076708819,0.420113593844099,8.80246577435352e-05,0.000310332445711043,0.000589461624048821,0.000938444483107954,0.00336616703580219,0.00729347655560089,17
"18",-0.486392590779487,0.0901578723583004,0.0223012121496654,0.0579776394852151,0.00244110174412471,0.486852797394333,0.156094867107497,0.113804887257504,0.0576480087172052,0.0234725512252636,0.487777961982393,"Indiana",0.060431058,0.352,0.144,0.065,0.09,0.034,0.211,0.239,0.038,0.0475219994133986,0.0774780005866014,0.183091541335751,0.0758395516600522,0.0820689070041972,0.164089549671203,0.15370780427318,0.245704403267341,0.246297067355596,8.41741515700565e-05,0.000296757419932214,0.000563676512460638,0.000938295602630901,0.0033656330068179,0.00729231947461366,18
"19",-0.680913508052119,0.0318131473658007,0.0242232412114186,0.0486773784799263,0.00362578964647649,0.478835914402421,0.145112363125819,0.117589034509146,0.0639809458411541,0.0297047516760384,0.492124013881283,"Iowa",0.0538578552,0.315,0.136,0.085,0.058,0.024,0.166,0.244,0.041,0.0380175995307189,0.0619824004692811,0.189534645429677,0.0785083921876787,0.084956962382644,0.320346426698854,0.213061083048922,0.0572375987788692,0,9.64851336188691e-05,0.000340159999007772,0.000646117633598219,0.00101578916445265,0.00364359966119832,0.00789459002607465,19
"20",-0.606107781314303,0.0580792245990484,0.0300608979023076,0.101066264502388,0.00853849444157814,0.494460188788785,0.146078224783366,0.113552798503451,0.0577783989506956,0.0274307093555809,0.49517534994732,"Kansas",0.0544939716,0.328,0.114,0.068,0.067,0.027,0.172,0.246,0.034,0.0441004154556339,0.0718995845443661,0.184702317359232,0.0765067617919588,0.0827909208488088,0.127375269919982,0.350806968714343,0.068080845161074,0.100031213413679,0.000104276231413359,0.000367627648361006,0.000698291118582889,0.00104758599702832,0.00375765377050979,0.00814171114736356,20
"21",-0.385030040432616,0.0790097891672255,0.0139698459643262,0.0297621762162704,0.00231090106843634,0.474584346210164,0.158544179799851,0.119992494010915,0.0598712849625059,0.021671476855707,0.487540168339165,"Kentucky",0.0708209592,0.394,0.163,0.056,0.121,0.042,0.234,0.27,0.029,0.0520841113570848,0.0849158886429151,0.196514674864765,0.0813996360926074,0.088085689042628,0.0489103331026643,0.182411327905674,0.524113711134858,0.191033787826449,9.01284923233692e-05,0.000317749550727613,0.000603550059947911,0.00109636008676919,0.00393260469839338,0.00852077744957857,21
"22",-0.129201987677995,0.314529859503466,0.01776156652364,0.0463323690618722,0.0058429764987911,0.494819854481408,0.151576433597524,0.116197119125178,0.0566078115782184,0.0197298672206975,0.482497370918511,"Louisiana",0.0619153296,0.39,0.121,0.065,0.099,0.038,0.205,0.226,0.025,0.0536048153383136,0.0873951846616864,0.197588525547086,0.0818444428472118,0.0885670316057025,0.0787857442609085,0.0815881855543902,0.197719778788317,0.641906291396384,8.86730950443183e-05,0.000312618522574058,0.000593803917608509,0.000961735008171216,0.00344970932213418,0.00747448768793124,22
"23",-0.449463457521894,0.0112876510643519,0.011487025335869,0.0142042891630611,0.00575749593132143,0.409473948624387,0.159059039208169,0.144504818942609,0.0681015525500513,0.0307151954238775,0.485774974990856,"Maine",0.0695487264,0.348,0.138,0.06,0.081,0.03,0.178,0.319,0.031,0.040298655502562,0.065701344497438,0.16322530371281,0.0676106266998706,0.0731640695873194,0.30859604243473,0.341247460687683,0.117929425927319,0,0.000112542399250181,0.000396770165324072,0.000753645934411311,0.00116813186321515,0.00419004751181718,0.00907857897996724,23
"24",-0.347120036650828,0.300366752036632,0.0646948259802411,0.0868597044321842,0.00278938168705937,0.479697479434665,0.166842586086447,0.110812402978159,0.0559867862715932,0.0220056436166599,0.478930937179023,"Maryland",0.0559782432,0.324,0.132,0.059,0.057,0.031,0.126,0.234,0.035,0.0456211194368626,0.0743788805631374,0.165909930418613,0.0687226435863816,0.0743674259950056,0.351035943113424,0,0.065625749299642,0.259883673285628,8.76640127386859e-05,0.000309060985540026,0.000587046546322726,0.000918677899123926,0.00329526500098273,0.00713985306538187,24
"25",-0.541437799808863,0.0720973478939158,0.0657832850456875,0.103879117450412,0.00207247604189882,0.481198329601162,0.159353801194871,0.113529365991994,0.0565905534276895,0.0265826856070758,0.480524463734535,"Massachusetts",0.0513133896,0.286,0.146,0.083,0.051,0.03,0.134,0.251,0.042,0.0326951355964182,0.0533048644035818,0.137989812678264,0.0571576679666669,0.0618525193550694,0.26822040609128,0.254127230640245,0.0824332131449809,0.18297580554481,9.13992749060624e-05,0.000322229716592082,0.000612059920527997,0.000971495554929973,0.00348472005675102,0.00755034547199437,25
"26",-0.408952938783743,0.135598588786363,0.031222870932285,0.0431044903624328,0.00528874528307418,0.463190573610459,0.157013920769923,0.122762073048583,0.0616706724248376,0.024851149529734,0.488688264430157,"Michigan",0.0680644548,0.347,0.147,0.068,0.086,0.035,0.189,0.264,0.032,0.0444805914509411,0.0725194085490589,0.177185362582985,0.073393114509728,0.0794215229072876,0.189893997023,0.21141901815562,0.146643057253971,0.215455149001002,9.59924431784398e-05,0.000338423010381218,0.000642818306857127,0.000966890798150616,0.00346820295770301,0.00751455786151873,26
"27",-0.699303334303902,0.054976907514682,0.045897785337557,0.044680503499571,0.00981981807028386,0.484058599384288,0.15240984476374,0.11281042224519,0.0580696800803153,0.0254958546281275,0.494798313520805,"Minnesota",0.046648536,0.266,0.163,0.101,0.044,0.024,0.151,0.259,0.046,0.0338356635823398,0.0551643364176602,0.161614527689328,0.066943416567964,0.0724420557427077,0.17606382968908,0.256435716828275,0.109709031141479,0.00101417726069172,9.44092462706282e-05,0.000332841422437135,0.000632216347765315,0.00099528580815034,0.0035700548502367,0.00773524043087346,27
"28",-0.0936556874416217,0.367569491090022,0.00986024926460834,0.026549902403999,0.00446520128780397,0.492895894470901,0.149797210002807,0.118432023909978,0.0598528283561141,0.0193085731564186,0.477757240090196,"Mississippi",0.0682764936,0.408,0.15,0.084,0.097,0.025,0.205,0.222,0.051,0.0547453433242352,0.0892546566757648,0.212085509758421,0.0878493340343713,0.0950651562072078,0.0899533847978017,0.0773864563912424,0.185528772479729,0.598015917239191,7.3481606426388e-05,0.000259060668017787,0.000492073336859934,0.000964523410556669,0.00345971122247183,0.00749615881264021,28
