"","riskScore","Black_Prev","Asian_Prev","Hispanic_Prev","Native_Prev","Age_15_44_Prev","Age_45_54_Prev","Age_65_74_Prev","Age_75_84_Prev","Age_85_Prev","Male_Prev","Locationdesc","ARTHRITIS_CrudePrev","BPHIGH_CrudePrev","CASTHMA_CrudePrev","CHD_CrudePrev","COPD_CrudePrev","KIDNEY_CrudePrev","smoking_current_proportion","smoking_ex_proportion","STROKE_CrudePrev","DIABETES_unctrled_CrudePrev","DIABETES_ctrled_CrudePrev","obesity1","obesity2","obesity3","SDI_2","SDI_3","SDI_4","SDI_5","hemo_cat1","hemo_cat2","hemo_cat3","non_hemo_cat1","non_hemo_cat2","non_hemo_cat3","StateID"
"29",-0.446686196077406,0.113427134867691,0.0198675946400769,0.0351718713924663,0.00472814552242952,0.473749214030292,0.151242253731499,0.119777166044181,0.0629671149471162,0.0250556703448309,0.485273959127166,"Missouri",0.0659440668,0.32,0.152,0.058,0.091,0.025,0.194,0.246,0.024,0.0437202394603267,0.0712797605396733,0.187923869406196,0.0778411820557721,0.0842349485380323,0.349784002773657,0.152882797106186,0.196208287624011,0.209328572506124,8.90694450927995e-05,0.000314015861490856,0.000596458095986007,0.000971025366569953,0.00348303350780049,0.00754669122516118,29
"30",-0.576964843156817,0.00456666869948594,0.00838717314956647,0.0323457419013078,0.0565004179237262,0.456786636493377,0.139029058439508,0.138988873312368,0.067087347540498,0.0238274841010415,0.499886907570763,"Montana",0.0606430968,0.29,0.148,0.061,0.06,0.02,0.18,0.264,0.035,0.0357365435588757,0.0582634564411243,0.14389599143103,0.0596041051169912,0.064499903451979,0.436709802611415,0.229316280000276,0.103547948702029,0.043838616180759,9.78785553803547e-05,0.0003450725314076,0.000655448753713487,0.00102375215855438,0.00367216263826731,0.00795647744918681,30
"31",-0.678089074303667,0.0454944108153227,0.0233648282921014,0.0897132522784505,0.00795987534636278,0.500621620103926,0.142878597332518,0.112866491411587,0.0582396658922534,0.0273930741595396,0.495202033063399,"Nebraska",0.0534337776,0.306,0.17,0.084,0.063,0.027,0.16,0.237,0.036,0.0368770715447973,0.0601229284552027,0.183091541335751,0.0758395516600522,0.0820689070041972,0.126760691464749,0.496058822113391,0.0621499814107999,0.0037157002511548,8.36845415328022e-05,0.000295031291320064,0.000560397813797004,0.000893747945747676,0.0032058421435098,0.00694610049529938,31
"32",-0.101547381906742,0.0889753722735082,0.088829878063655,0.261441333598185,0.0123857391280105,0.492250385061407,0.161086190323614,0.118729028994677,0.056455613439009,0.0180047719964804,0.499441721952322,"Nevada",0.0525856224,0.326,0.16,0.077,0.073,0.04,0.157,0.257,0.034,0.0410590074931764,0.0669409925068236,0.158392975642365,0.0656089963041507,0.0709980280534843,0.0054197830657506,0.041877543203189,0.0271235701963385,0.906692403013468,7.24771565519173e-05,0.000255519462699536,0.000485346986886428,0.000798887272793292,0.00286558027822019,0.00620885486522226,32
"33",-0.648019762650942,0.0144602586890046,0.0265001768469311,0.0314098058265467,0.00167534485151573,0.435472741624368,0.165289241797744,0.127722396179105,0.0590114602446084,0.0268549931433689,0.491701472563892,"New Hampshire",0.0631875624,0.3,0.116,0.056,0.08,0.025,0.156,0.295,0.024,0.0391581275166404,0.0638418724833596,0.158929900983525,0.065831399681453,0.0712386993350216,0.557431235892436,0.0240673432507603,0,0,0.00010153461234765,0.000357962023163708,0.000679931726244158,0.00110041854883792,0.00394716225771384,0.00855231932390663,33
"34",-0.317504953626738,0.134339494257981,0.0942686737116909,0.184734284087595,0.00200186077513782,0.467034227788076,0.168990122919318,0.111283839662546,0.0589298735627917,0.0268167925577435,0.483569546629106,"New Jersey",0.0489809628,0.33,0.15,0.074,0.056,0.031,0.131,0.239,0.042,0.0410590074931764,0.0669409925068236,0.137452887337103,0.0569352645893647,0.0616118480735322,0.19235529618853,0.100559127255216,0.0990755931918252,0.330505447130541,0.000107736060465784,0.000379825335226311,0.000721460040842329,0.00101942594508971,0.00365664466419772,0.00792285464352589,34
"35",0.0708213960669642,0.0207558808129735,0.0159288205858937,0.459490588547507,0.0914326255717042,0.481133481070468,0.141295277378139,0.130271527347957,0.0627397955668259,0.0239891264212534,0.49211424089005,"New Mexico",0.057250476,0.305,0.152,0.085,0.063,0.03,0.152,0.255,0.048,0.0475219994133986,0.0774780005866014,0.173426885194861,0.0718362908686125,0.0777368239365269,0.0751248610322741,0.111347395563685,0.100263564857443,0.702666405005093,7.68606111600498e-05,0.000270973407356367,0.000514701014933686,0.000780582945873725,0.00279992330756473,0.00606659585932797,35
"36",-0.273740188902017,0.15484034057613,0.0851978200494212,0.176975739369884,0.00399860500056986,0.482602475617787,0.158166441962289,0.112043670186214,0.0598591063657692,0.0267572724527235,0.480263133887917,"New York",0.0481328076,0.294,0.144,0.068,0.058,0.027,0.128,0.234,0.036,0.0418193594837907,0.0681806405162093,0.148191394160314,0.0613833321354088,0.0664252737042769,0.0619449611943655,0.260177183407212,0.100144084528506,0.413337014149318,0.000110724827868523,0.000390362286139041,0.000741474474664451,0.00100355176448774,0.00359970454208653,0.0077994824396887,36
"37",-0.237805335805642,0.214737737339732,0.027763404032513,0.0763507425243495,0.0118486595660502,0.480378818634068,0.162398131950169,0.119492496631159,0.0583925838940213,0.0211018217963894,0.480530129256274,"North Carolina",0.0585227088,0.348,0.145,0.081,0.081,0.032,0.174,0.256,0.038,0.0475219994133986,0.0774780005866014,0.177185362582985,0.073393114509728,0.0794215229072876,0.177854725685764,0.145878559922757,0.306062679647301,0.366662966097744,8.9897542974108e-05,0.000316935334822332,0.000602003495814879,0.000974038517161104,0.00349384157197095,0.00757010906563084,37
"38",-0.81897739886228,0.0251849287093732,0.0150363302345204,0.0300188752502273,0.0454854872352549,0.519249816340452,0.133672994175369,0.105025384373196,0.055666880936139,0.0302365928530199,0.51220680065068,"North Dakota",0.0549180492,0.295,0.13,0.067,0.051,0.025,0.191,0.236,0.026,0.0357365435588757,0.0582634564411243,0.188460794747356,0.0780635854330743,0.0844756198195695,0.210295992461615,0.350119172994845,0,0.0355745246937531,8.09755519955639e-05,0.000285480702086918,0.000542256926765051,0.000828079641853486,0.00297029226938876,0.00643573441236163,38
"39",-0.37249326334446,0.120188714198785,0.0219178117437892,0.0318314501365602,0.00210790247943878,0.466429839249622,0.155784476163798,0.120628836250339,0.0623385576892076,0.0259904063122714,0.485488668000705,"Ohio",0.0653079504,0.347,0.132,0.059,0.085,0.028,0.205,0.252,0.028,0.046381471427477,0.075618528572523,0.18255461599459,0.07561714828275,0.0818282357226599,0.202699435218297,0.202234938787456,0.0998567982641984,0.389980646989883,9.00726931606581e-05,0.000317552829819214,0.000603176398000049,0.00101288379508034,0.00363317820443241,0.00787200984814856,39
"40",-0.403596678356627,0.0761516525349466,0.0232069516922061,0.0912572634233226,0.0755419801073567,0.499893956405431,0.14595318882787,0.115054597347543,0.0588816995465404,0.0230793470003971,0.490589783629731,"Oklahoma",0.0606430968,0.377,0.127,0.06,0.085,0.029,0.197,0.248,0.03,0.0475219994133986,0.0774780005866014,0.186850018723875,0.0773963753011676,0.0837536059749578,0.12603887074766,0.116478986984292,0.350838616600164,0.301433891649109,8.26278008569977e-05,0.000291305733881827,0.000553321295797093,0.000900809779386888,0.00323117269000085,0.00700098420873608,40
"41",-0.396036198493272,0.018865549610983,0.0456505100983541,0.111550532601565,0.0114480861986551,0.480348173168853,0.149730949497942,0.129011654099255,0.0607112479510282,0.0234569264111064,0.492421074051795,"Oregon",0.061491252,0.301,0.156,0.062,0.069,0.029,0.156,0.275,0.031,0.0418193594837907,0.0681806405162093,0.160540677007007,0.0664986098133596,0.0719607131796333,0.16282002105486,0.230111547095589,0.297102760867407,0.309965670982143,8.97711586310988e-05,0.000316489764646077,0.000601157156595912,0.000943688311743864,0.00338497646290558,0.00733423095493513,41
"42",-0.437461050797559,0.106871012684677,0.0334604673366144,0.0610380479293794,0.00191215743213462,0.453673159268861,0.156226588948487,0.12343045344412,0.0666095309138375,0.0295255780711675,0.485477263968119,"Pennsylvania",0.0608551356,0.326,0.126,0.071,0.071,0.032,0.17,0.258,0.033,0.0429598874697123,0.0700401125302877,0.165909930418613,0.0687226435863816,0.0743674259950056,0.324635537110475,0.183910493312015,0.117121490655507,0.121684324161734,0.000110422379745262,0.000389296000075587,0.000739449115333349,0.00109311180212401,0.00392095321672098,0.00849553217579629,42
"44",-0.343753778085358,0.0615240217010129,0.0339668525509233,0.13262532289081,0.00491985890215979,0.471057449562272,0.157159839299726,0.115923987288559,0.0593982607641457,0.0297008141653318,0.481981835346203,"Rhode Island",0.0597949416,0.331,0.154,0.063,0.069,0.024,0.146,0.275,0.024,0.0414391834884835,0.0675608165115164,0.148728319501475,0.061605735512711,0.0666659449858141,0.235010121851335,0,0,0.598350892744441,0.000101427186643095,0.000357583291993587,0.000679212344517552,0.00103396423207096,0.00370879298333028,0.00803584444437713,44
"45",-0.179583451338985,0.266907214250267,0.0154859389026155,0.0473369715779967,0.00344854941949001,0.468355229565351,0.152920096417519,0.132767817040051,0.0628763983769093,0.0203503285094966,0.479588816393571,"South Carolina",0.0642477564,0.381,0.134,0.079,0.082,0.032,0.18,0.255,0.037,0.0505634073758561,0.0824365926241439,0.184165392018072,0.0762843584146566,0.0825502495672716,0.0931985174071537,0.294659676790071,0.387307287210083,0.224834518592692,8.95033458307296e-05,0.000315545586009524,0.000599363734476548,0.000990102558425474,0.003551462717536,0.00769495684347899,45
"46",-0.659216561975164,0.0169673778430369,0.0144578670641542,0.030412244988765,0.0742026148153092,0.484825589434864,0.138654581689777,0.121204259013482,0.0564166751012506,0.0310216870973674,0.499995010527786,"South Dakota",0.0532217388,0.308,0.159,0.089,0.046,0.027,0.19,0.252,0.042,0.0353563675635685,0.0576436324364315,0.161614527689328,0.066943416567964,0.0724420557427077,0.384011907162087,0.257153192044498,0.0512683973956048,0.0608308922069759,8.27975738691606e-05,0.000291904271557869,0.000554458189458875,0.000930771141965043,0.00333864303361062,0.00723384028010849,46
"47",-0.325847853889764,0.164563016237428,0.0170859999643772,0.0432378111486192,0.00290475686043274,0.478109276548608,0.16020653055277,0.119355506363778,0.060311176855877,0.0205635241482128,0.482286973003284,"Tennessee",0.0687005712,0.387,0.176,0.071,0.106,0.039,0.207,0.248,0.038,0.052464287352392,0.085535712647608,0.184702317359232,0.0765067617919588,0.0827909208488088,0.121798444984818,0.241985717615582,0.254982487424255,0.330730050933786,8.56135039822014e-05,0.000301831881631372,0.000573315209527924,0.000983779158678273,0.00352878090719307,0.00764581214857369,47
"48",-0.285291537658811,0.121959936231128,0.0489471720339727,0.366000157036522,0.00502127752221383,0.53918538629676,0.15757619783127,0.0964846741684081,0.0462553499264237,0.0169928071837016,0.492566426196121,"Texas",0.0453763032,0.325,0.15,0.072,0.062,0.037,0.144,0.216,0.039,0.0479021754087058,0.0780978245912942,0.186850018723875,0.0773963753011676,0.0837536059749578,0.0922235426461985,0.0794146597105636,0.213984121401366,0.516928125937549,7.36793507269284e-05,0.000259757818952369,0.000493397541685388,0.000701240183420146,0.00251532363618492,0.00544995354512811,48
"49",-1.07989330307603,0.0115487902351458,0.0263100357445381,0.128853898201323,0.0109735596808462,0.592670370636159,0.133886368796344,0.0890555801059992,0.0435730505793695,0.0147986716741178,0.500556266888922,"Utah",0.0458003808,0.244,0.185,0.104,0.042,0.026,0.09,0.159,0.015,0.0319347836058038,0.0520652163941962,0.149265244842635,0.0618281388900132,0.0669066162673513,0.409541089881824,0.398941026989587,0.00521874684634696,0,6.79667919993615e-05,0.000239618094849618,0.000455143099903441,0.000604579980790957,0.00216860692185489,0.00469872218895791,49
"50",-0.602637196409064,0.0118924498868893,0.0173052606534132,0.0174318985515311,0.00361301760842411,0.434365193440846,0.151815883145323,0.142521993031464,0.0657928403181746,0.0247379273496234,0.488708111647088,"Vermont",0.0602190192,0.304,0.138,0.077,0.062,0.02,0.137,0.303,0.04,0.0349761915682613,0.0570238084317386,0.147654468819154,0.0611609287581066,0.0661846024227396,0.736182660819273,0.0532281951599415,0,0,9.06690316794247e-05,0.00031965523152965,0.000607169809400514,0.00106441717110533,0.00381802659423212,0.00827252098826893,50
"51",-0.524789770982141,0.193880693473204,0.065163373722262,0.0828386626843076,0.0028745943700678,0.492240170303414,0.160153967837,0.11189468289889,0.0560601688966595,0.021271562459179,0.487099918322115,"Virginia",0.055130088,0.324,0.114,0.072,0.064,0.03,0.15,0.228,0.027,0.0399184795072548,0.0650815204927452,0.16322530371281,0.0676106266998706,0.0731640695873194,0.246316475365857,0.138045061968382,0.0581295274222049,0.182088818319339,7.19735418486378e-05,0.000253743960396305,0.000481974505260257,0.000834358536436029,0.00299281444128649,0.00648453321853203,51
"53",-0.596050510060419,0.0375075694478726,0.090531738451179,0.108673467326249,0.0129057000072554,0.502606566597561,0.151547798992472,0.115710458906468,0.0529322755017903,0.0208466722179218,0.497317571675901,"Washington",0.051949506,0.295,0.15,0.091,0.051,0.027,0.12,0.26,0.054,0.0376374235354117,0.0613625764645883,0.15409757291308,0.0638297692857331,0.0690726578011864,0.19361519864679,0.656870467015505,0.0601437499355805,0.0696208583996711,9.05179928140987e-05,0.000319122741410681,0.000606158369911491,0.000891981173621726,0.00319950479463387,0.00693236935689785,53
"54",-0.316487478272355,0.0368186767693172,0.00827718038076627,0.0133455889204523,0.00210124304133798,0.434109745992383,0.154651609449107,0.142829942208573,0.0701292428865328,0.0266825093858823,0.492112143630039,"West Virginia",0.0850275588,0.435,0.138,0.067,0.153,0.046,0.252,0.242,0.037,0.0615885112397645,0.100411488760235,0.212085509758421,0.0878493340343713,0.0950651562072078,0.184225621414914,0.396773287530652,0.307361916798998,0.0810702055719394,9.45957651846163e-05,0.000333498998078246,0.000633465381215414,0.00114517878417163,0.00410771563237494,0.00890019043712199,54
"55",-0.584616874815228,0.0588335067409994,0.0262080316591013,0.0554528087103751,0.00835813499518423,0.464980132811656,0.154941405696695,0.119963192977707,0.0608671474242954,0.0261793618367418,0.493941845324469,"Wisconsin",0.0557662044,0.308,0.147,0.068,0.053,0.028,0.164,0.263,0.034,0.0330753115917254,0.0539246884082746,0.171816109171379,0.0711690807367059,0.0770148100919152,0.341523692394286,0.0948169464328226,0.0292118742965356,0.167253645301898,0.000103709479412061,0.000365629554427069,0.000694495834810345,0.000989654861271475,0.00354985684374279,0.00769147739556761,55
"56",-0.73841479298042,0.00946113786416229,0.00850674394787876,0.0868825311049615,0.021850826923496,0.478367897849002,0.144586082783443,0.127403804953295,0.059628074385123,0.0198346045076699,0.505060416488131,"Wyoming",0.0536458164,0.308,0.145,0.041,0.064,0.024,0.188,0.263,0.026,0.0334554875870326,0.0545445124129674,0.155708348936562,0.0644969794176397,0.0697946716457982,0.428149027306492,0.162260492444957,0,0,6.6059247027529e-05,0.000232893012224051,0.000442369127406796,0.000819798946145365,0.00294058970793955,0.00637137785094712,56
